double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status
3090.854000,0.110250,3.760870,0.115063,0.068436,0.116710,-0.990805,0.053933,0.991249,0.120487,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.446630,4.334528,-4.755001,0.711191,0
3181.801000,0.137203,3.833725,0.118166,0.080178,0.166075,-0.982848,0.055059,0.983780,0.170724,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.534742,4.657158,-4.755001,0.379453,0
3272.685000,0.143524,3.879993,0.124724,0.076993,0.202517,-0.976247,0.070418,0.975604,0.207937,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.528369,4.892262,-4.755000,0.150660,0
3363.602000,0.146105,3.923564,0.126912,0.074296,0.232934,-0.969650,0.066944,0.968979,0.237902,1.000000,0.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.520166,5.096320,-4.755001,0.074236,0
3454.503000,0.146544,3.943333,0.122191,0.068827,0.243550,-0.967443,0.066903,0.966433,0.248055,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.493526,5.171144,-4.755000,0.148952,0
3545.439000,0.148819,3.952069,0.122609,0.076516,0.247114,-0.965961,0.071540,0.964943,0.252520,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.535186,5.199868,-4.755000,0.158753,0
3636.330000,0.157814,3.956988,0.127325,0.077262,0.243877,-0.966724,0.066958,0.966163,0.249087,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.548018,5.188662,-4.755000,0.145563,0
3727.245000,0.158842,3.957060,0.127732,0.080455,0.238654,-0.967766,0.070689,0.967103,0.244367,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.564764,5.161155,-4.755000,0.117150,0
3818.150000,0.161995,3.956196,0.127299,0.078158,0.233654,-0.969174,0.068186,0.968618,0.239018,0.000000,1.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.555725,5.133247,-4.755000,0.091353,0
3909.061000,0.162928,3.955503,0.126764,0.072492,0.229648,-0.970570,0.067060,0.969806,0.234476,1.000000,0.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.527548,5.110582,-4.755000,0.080819,0
3999.961000,0.164520,3.952625,0.123959,0.070334,0.228982,-0.970886,0.061859,0.970422,0.233354,1.000000,0.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.517965,5.103319,-4.755000,0.080838,0
4090.900000,0.164731,3.952572,0.121791,0.070498,0.228692,-0.970943,0.062669,0.970426,0.233121,1.000000,0.000000,0.000000,0.570260,5.040763,-4.755000,0.090169,2,0.518825,5.101233,-4.755000,0.078728,1
4181.797000,0.166392,3.962571,0.117425,0.073037,0.228472,-0.970807,0.064554,0.970283,0.233205,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,0.532959,5.109260,-4.755000,2.750555,0
4272.700000,0.166414,3.973424,0.119330,0.073160,0.230478,-0.970323,0.064525,0.969799,0.235218,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,0.533928,5.131208,-4.755000,2.768371,0
4363.618000,0.161273,3.972640,0.119989,0.068226,0.225963,-0.971744,0.063433,0.971060,0.230258,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,0.503544,5.106239,-4.755000,2.737141,0
4454.519000,0.129587,3.948277,0.127846,0.008217,0.193495,-0.981067,0.063395,0.979026,0.193623,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,0.170483,4.911314,-4.755000,2.451629,0
4545.426000,0.071955,3.863859,0.115977,-0.083276,0.094924,-0.991995,0.072078,0.993420,0.089009,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.336952,4.329963,-4.755000,1.768402,0
4636.342000,0.016834,3.748323,0.105766,-0.133478,-0.013296,-0.990963,0.084892,0.996081,-0.024799,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.637889,3.683106,-4.755000,1.073005,0
4727.237000,-0.022974,3.642024,0.098095,-0.167670,-0.093743,-0.981376,0.085051,0.990382,-0.109134,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.852136,3.178449,-4.755001,0.551484,0
4818.149000,-0.050620,3.577419,0.104138,-0.176452,-0.139083,-0.974433,0.075573,0.985131,-0.154294,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.930522,2.883865,-4.755000,0.278746,0
4909.077000,-0.049308,3.553617,0.117810,-0.168468,-0.157711,-0.973009,0.071095,0.982602,-0.171576,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.892991,2.763802,-4.755000,0.154027,0
4999.973000,-0.047703,3.546943,0.126110,-0.158899,-0.165496,-0.973325,0.066730,0.981796,-0.177830,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.844561,2.717000,-4.755001,0.092843,0
5090.893000,-0.043043,3.542372,0.135980,-0.149298,-0.167346,-0.974528,0.065088,0.981774,-0.178561,1.000000,0.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.792342,2.702495,-4.755000,0.081249,0
5181.801000,-0.034646,3.541895,0.143156,-0.141789,-0.169919,-0.975204,0.063425,0.981574,-0.180251,0.000000,1.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.746807,2.688441,-4.755000,0.097194,0
5272.677000,-0.036124,3.534586,0.138301,-0.148901,-0.174176,-0.973391,0.057976,0.981134,-0.184431,1.000000,0.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.784659,2.658990,-4.755000,0.050294,0
5363.605000,-0.036692,3.528883,0.134347,-0.150754,-0.176784,-0.972636,0.051008,0.981179,-0.186243,1.000000,0.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.794517,2.640208,-4.755000,0.032203,0
5454.522000,-0.037194,3.524279,0.130384,-0.154044,-0.177537,-0.971983,0.054010,0.980741,-0.187697,1.000000,0.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.811450,2.631939,-4.755000,0.013782,0
5545.428000,-0.036938,3.521861,0.128724,-0.150602,-0.177203,-0.972583,0.054248,0.980840,-0.187108,1.000000,0.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.793168,2.632053,-4.755000,0.031046,0
5636.324000,-0.045722,3.520361,0.128799,-0.153656,-0.173874,-0.972706,0.055236,0.981346,-0.184144,1.000000,0.000000,0.000000,-0.824097,2.625666,-4.755000,0.090169,3,-0.817205,2.647369,-4.755000,0.022252,1
5727.227000,-0.047591,3.520874,0.128824,-0.154435,-0.171165,-0.973063,0.054707,0.981886,-0.181400,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,-0.822706,2.661791,-4.755001,2.686664,1
5818.172000,-0.039367,3.546678,0.132651,-0.131411,-0.144726,-0.980707,0.051430,0.986959,-0.152539,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,-0.694294,2.825393,-4.755000,2.504439,0
5909.077000,0.014717,3.611144,0.140994,-0.063929,-0.067317,-0.995681,0.062237,0.995511,-0.071301,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,-0.299637,3.280132,-4.755000,1.943583,0
5999.965000,0.078566,3.690514,0.146674,0.016119,0.017955,-0.999709,0.079331,0.996664,0.019179,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,0.157599,3.778548,-4.755001,1.275389,0
6090.878000,0.137841,3.765705,0.154363,0.070153,0.071329,-0.994983,0.092957,0.992632,0.077715,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,0.483983,4.117653,-4.755000,0.801064,0
6181.800000,0.175116,3.824876,0.158639,0.108064,0.112221,-0.987790,0.090057,0.988418,0.122144,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,0.712669,4.383104,-4.755000,0.450095,0
6272.711000,0.218453,3.877619,0.161410,0.143893,0.143770,-0.979094,0.094059,0.982924,0.158156,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,0.940993,4.599545,-4.755000,0.138103,0
6363.614000,0.238879,3.900913,0.162663,0.157705,0.156953,-0.974933,0.094952,0.980303,0.173177,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.034358,4.692599,-4.755000,0.009111,0
6454.503000,0.249885,3.918091,0.162215,0.166437,0.166563,-0.971882,0.093780,0.978488,0.183755,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.091971,4.760810,-4.755000,0.078022,0
6545.418000,0.250682,3.921532,0.160948,0.168960,0.169327,-0.970969,0.093709,0.977910,0.186844,0.000000,1.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.106116,4.778820,-4.755000,0.100193,0
6636.354000,0.253276,3.924212,0.156642,0.163128,0.168806,-0.972057,0.096156,0.977844,0.185948,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.077533,4.777163,-4.755000,0.084586,0
6727.249000,0.252306,3.925810,0.154104,0.158436,0.167773,-0.973011,0.092721,0.978575,0.183830,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.051660,4.772269,-4.755000,0.073502,0
6818.148000,0.251783,3.925141,0.150428,0.155384,0.163996,-0.974146,0.093759,0.979224,0.179806,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.034239,4.750959,-4.755000,0.052904,0
6909.074000,0.251296,3.925072,0.149044,0.152721,0.163593,-0.974635,0.093753,0.979358,0.179076,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.019736,4.748217,-4.755001,0.054609,0
6999.961000,0.250803,3.925043,0.145611,0.149674,0.163463,-0.975130,0.095710,0.979212,0.178838,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,1.003003,4.746543,-4.755000,0.062114,0
7090.877000,0.250051,3.924134,0.144568,0.146662,0.158178,-0.976458,0.089563,0.980954,0.172359,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,0.985954,4.717825,-4.755000,0.059124,0
7181.768000,0.250258,3.924631,0.144780,0.146980,0.161083,-0.975935,0.094100,0.979898,0.175909,1.000000,0.000000,0.000000,1.041917,4.698084,-4.755000,0.090169,4,0.988186,4.733363,-4.755000,0.064239,1
7272.700000,0.251030,3.924629,0.144910,0.151104,0.161100,-0.975302,0.094669,0.979738,0.176500,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,1.010178,4.733994,-4.755000,2.717818,0
7363.618000,0.251139,3.925144,0.145047,0.151651,0.164025,-0.974730,0.094925,0.979160,0.179539,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,1.013503,4.749710,-4.755000,2.728187,0
7454.528000,0.243640,3.915802,0.139556,0.138734,0.158920,-0.977495,0.094567,0.980404,0.172815,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,0.938317,4.711555,-4.755000,2.655092,0
7545.438000,0.206369,3.887214,0.124515,0.079236,0.136172,-0.987511,0.096077,0.984971,0.143531,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,0.597893,4.560071,-4.755000,2.327238,0
7636.332000,0.125968,3.822730,0.104116,-0.030214,0.072488,-0.996912,0.111908,0.991342,0.068691,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,-0.021299,4.176049,-4.755001,1.633699,0
7727.222000,0.041409,3.720261,0.076547,-0.119584,0.009058,-0.992783,0.150990,0.988493,-0.009168,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,-0.540568,3.764344,-4.755000,0.972576,0
7818.172000,-0.032904,3.606322,0.067442,-0.185361,-0.063308,-0.980629,0.146614,0.984971,-0.091301,0.000000,1.000000,0.000000,-1.214200,3.058919,-4.755000,0.090169,5,-0.944455,3.294993,-4.755000,0.352527,0
